Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend,volume scaled,sma_21,sma_34,MA,roll_CP_std,UP_band,LO_band,buy,sell,MA_std
2017-07-28,53,JUBLFOOD,EQ,1278.45,1281.95,1318.0,1260.0,1313.0,1312.6,1297.88,1067103,1384975303.0,28488,138257,12.96,7,2017,2.6712034103797406,Positive,0.10030181043933949,1168.956666666667,1081.384117647059,1238.2357142857145,82.57908197733634,1403.3938782403873,1073.0775503310417,,,82.57908197733634
2017-07-31,54,JUBLFOOD,EQ,1312.6,1322.0,1338.0,1304.5,1310.0,1317.75,1322.1,1182849,1563848709.0,36589,238904,20.2,7,2017,0.3923510589669332,Slight or No Change,0.11255053102552055,1186.981904761905,1092.054117647059,1254.4500000000003,73.13885897597481,1400.72771795195,1108.1722820480506,,,73.13885897597481
2017-08-01,55,JUBLFOOD,EQ,1317.75,1307.6,1321.25,1283.8,1293.0,1293.95,1301.52,563946,733989347.3,16853,57357,10.17,8,2017,-1.8061088977423645,Negative,0.04705565503024454,1202.0566666666668,1101.9317647058824,1267.8678571428575,59.85417409498887,1387.5762053328351,1148.1595089528798,,,59.85417409498887
2017-08-02,56,JUBLFOOD,EQ,1293.95,1280.2,1306.0,1269.65,1280.0,1280.75,1290.43,662368,854736351.3,19495,68576,10.35,8,2017,-1.0201321534835217,Negative,0.057471078263298926,1214.3247619047622,1111.6779411764708,1279.9571428571433,39.45954041382317,1358.8762236847897,1201.0380620294968,,,39.45954041382317
2017-08-03,57,JUBLFOOD,EQ,1280.75,1286.0,1293.9,1250.0,1250.6,1254.8,1269.0,541181,686759611.9,14982,59417,10.98,8,2017,-2.0261565488971294,Negative,0.04464656854652664,1225.0661904761907,1120.8238235294118,1286.4000000000003,23.181864596137473,1332.7637291922752,1240.0362708077255,,,23.181864596137473
2017-08-04,58,JUBLFOOD,EQ,1254.8,1256.0,1286.0,1246.8,1279.95,1279.3,1265.86,789359,999217861.4,25369,138925,17.6,8,2017,1.9525023908192551,Positive,0.07090979127247175,1234.2152380952384,1130.2326470588237,1286.8714285714289,22.947756001280627,1332.76694057399,1240.9759165688677,,,22.947756001280627
2017-08-07,59,JUBLFOOD,EQ,1279.3,1270.1,1286.0,1258.0,1265.0,1264.55,1269.34,352060,446883928.1,11858,55029,15.63,8,2017,-1.1529742828109146,Negative,0.024633001892135575,1242.7095238095242,1140.2735294117647,1282.546428571429,20.793374169202846,1324.1331769098347,1240.9596802330234,,,20.793374169202846
2017-08-08,60,JUBLFOOD,EQ,1264.55,1275.2,1345.0,1255.0,1337.2,1330.8,1302.66,1674075,2180743309.0,50507,196015,11.71,8,2017,5.239017832430504,Among Top gainers,0.1645340986534937,1251.821428571429,1151.3864705882354,1285.4607142857146,24.45511727612076,1334.3709488379561,1236.5504797334731,,,24.45511727612076
2017-08-09,61,JUBLFOOD,EQ,1330.8,1342.0,1355.75,1283.25,1297.0,1299.2,1325.17,1763170,2336496629.0,47613,345045,19.57,8,2017,-2.3745115719867704,Negative,0.1739625001587362,1262.5152380952384,1163.0761764705883,1285.5392857142863,24.500574393352593,1334.5404345009915,1236.538136927581,,,24.500574393352593
2017-08-10,62,JUBLFOOD,EQ,1299.2,1298.0,1352.4,1267.2,1320.0,1317.95,1323.71,1926331,2549898456.0,53522,371359,19.28,8,2017,1.4431958128078737,Positive,0.19122887221100487,1273.0671428571432,1174.9923529411767,1290.1071428571433,24.126635912189812,1338.360414681523,1241.8538710327637,,,24.126635912189812
